year,category,total_indicator_val,avg_indicator_val
1993,一类农村,1601.0999999999997,41.053846153846145
1993,三类农村,1748.6000000000001,43.715
1993,中城市,3163.299999999999,79.08249999999997
1993,二类农村,1565.5999999999997,39.13999999999999
1993,农村合计,1707.5000000000002,42.68750000000001
1993,四类农村,2145.2999999999997,55.0076923076923
1993,城乡合计,2137.1,53.427499999999995
1993,城市合计,3226.7000000000003,80.6675
1993,大城市,3227.599999999999,82.75897435897433
1993,小城市,2872.5,71.8125
1998,一类农村,1839.6000000000006,41.80909090909092
1998,三类农村,1954.2999999999993,44.415909090909075
1998,中城市,3599.7000000000007,81.81136363636365
1998,二类农村,1598.0999999999997,36.32045454545454
1998,农村合计,1873.8999999999999,33.4625
1998,四类农村,1545.3000000000004,35.12045454545456
1998,城乡合计,2554.5000000000005,45.61607142857144
1998,城市合计,3934.2000000000007,70.25357142857145
1998,大城市,4025.1,91.47954545454546
1998,小城市,2815.6,63.99090909090909
2003,一类农村,1809.3999999999999,42.07906976744186
2003,三类农村,1844.6999999999991,41.92499999999998
2003,中城市,2952.7999999999997,70.3047619047619
2003,二类农村,1707.3999999999999,39.70697674418604
2003,农村合计,2055.5999999999995,36.70714285714285
2003,四类农村,1818.6000000000004,41.33181818181819
2003,城乡合计,2532.9999999999995,45.23214285714285
2003,城市合计,3889.6,69.45714285714286
2003,大城市,3554.799999999999,82.66976744186044
2003,小城市,2726.6000000000004,61.968181818181826
2008,一类农村,2790.4999999999995,68.06097560975608
2008,三类农村,2371.499999999999,56.464285714285694
2008,中城市,3309.500000000001,82.73750000000003
2008,二类农村,2164.8,51.542857142857144
2008,农村合计,2880.0999999999995,53.335185185185175
2008,四类农村,1886.6999999999996,44.921428571428564
2008,城乡合计,3444.6,63.788888888888884
2008,城市合计,4561.9000000000015,86.07358490566041
2008,大城市,4166.799999999999,101.62926829268291
2008,小城市,2773.0000000000005,69.32500000000002
