month,news,policy,knowledge
2016-04,0,0,14
2016-07,0,0,1
2016-08,0,0,2
2017-01,0,0,1
2017-04,0,0,1
2018-02,0,0,1
2018-04,0,0,1
2018-09,0,0,1
2019-11,0,0,1
2020-04,0,0,2
2020-05,0,1,0
2020-07,0,2,0
2020-08,0,1,0
2020-09,0,1,0
2020-11,0,1,0
2020-12,0,2,0
2021-01,0,2,0
2021-02,0,2,0
2021-03,0,1,0
2021-04,0,1,4
2021-05,0,2,1
2021-06,0,2,0
2021-07,0,1,0
2021-08,0,0,1
2021-09,0,2,0
2021-11,0,1,0
2021-12,0,1,1
2022-01,6,0,0
2022-02,6,3,0
2022-03,10,1,0
2022-04,1,2,2
2022-05,0,1,0
2022-06,0,1,0
2022-08,0,1,0
2022-12,0,1,0
2023-02,0,4,1
2023-03,0,3,4
2023-04,0,2,5
2023-05,0,2,0
2023-06,0,1,3
2023-07,0,1,0
2023-08,0,5,2
2023-09,0,1,3
2023-10,0,2,1
2023-11,13,2,4
2023-12,16,2,3
2024-01,0,2,3
2024-02,0,0,1
2024-03,0,3,7
2024-04,0,1,14
2024-05,0,4,7
2024-06,0,4,8
2024-07,0,6,8
2024-08,0,8,7
2024-09,0,6,0
2024-10,0,2,3
2024-11,0,5,1
2024-12,0,9,0
2025-01,0,14,1
2025-02,0,3,0
2025-03,0,3,2
2025-04,0,6,9
2025-05,0,3,8
2025-06,0,7,9
2025-07,0,3,13
2025-08,6,13,11
2025-09,17,6,4
2025-10,10,5,1
2025-11,5,4,5
2025-12,9,5,11
2026-01,2,21,10
2026-02,19,10,6
2026-03,24,10,11
2026-04,36,5,12
2026-05,30,12,4
2026-06,33,5,5
2026-07,7,5,3
